1;7;56
1;56;1
1;1;2
2;2;12
2;12;18
2;18;26
2;26;35
2;35;45
2;45;52
3;1;3
3;3;5
3;5;9
3;9;15
3;15;23
3;23;31
3;31;40
4;4;3
5;6;5
6;13;12
6;12;11
6;11;10
6;10;9
6;9;8
7;50;41
7;41;32
7;32;24
7;24;16
7;16;10
7;10;6
7;6;4
8;5;8
8;8;7
8;7;14
8;14;21
8;21;29
8;29;38
8;38;55
9;11;17
9;17;25
9;25;33
9;33;37
9;37;44
9;44;51
10;53;46
10;46;36
10;36;27
10;27;19
10;19;13
11;14;15
11;15;16
11;16;17
11;17;18
11;18;19
12;28;27
12;27;26
12;26;25
12;25;24
12;24;23
12;23;22
12;22;21
13;20;28
14;55;48
14;48;43
14;43;42
14;42;41
14;41;37
14;37;34
14;34;35
14;35;36
14;36;28
15;29;30
15;30;31
15;31;32
15;32;33
15;33;34
16;43;39
16;39;30
16;30;22
17;40;39
17;39;38
18;44;45
18;45;46
18;46;47
19;28;47
18;47;54
20;54;53
20;53;52
20;52;51
20;51;50
20;50;49
20;49;48
21;49;42
